# Simulation 1 (Up to date)
# 174 data points written for 7 variables.
#
# Angle of attack (°),Mach number (​),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
90,0.0054143,0.49901,0,0.33052,0.048485,0.12
90,0.0053582,0.49988,0,0.33139,0.048485,0.12
87.725,0.0053063,0.50069,7.6938e-5,0.3322,0.048485,0.12
84.588,0.0052695,0.50127,0.0010032,0.33279,0.048485,0.12
81.009,0.0052545,0.50151,0.0044222,0.33303,0.048485,0.12
77.427,0.00526,0.50143,0.011601,0.33294,0.048485,0.12
74.206,0.0053955,0.4993,0.022027,0.33081,0.048485,0.12
71.155,0.0055471,0.497,0.035852,0.32851,0.048485,0.12
# Event LIFTOFF occurred at t=0.08 seconds
68.277,0.0057134,0.49458,0.052643,0.32609,0.048485,0.12
65.571,0.0058932,0.49207,0.071824,0.32358,0.048485,0.12
63.033,0.0060852,0.4895,0.092765,0.32102,0.048485,0.12
60.109,0.0061832,0.48824,0.12077,0.31975,0.048485,0.12
57.289,0.0062964,0.48681,0.15121,0.31832,0.048485,0.12001
54.585,0.0064235,0.48524,0.18328,0.31675,0.048485,0.12001
52,0.0065635,0.48357,0.21621,0.31507,0.048485,0.12001
49.536,0.0067155,0.4818,0.2493,0.31331,0.048485,0.12001
47.617,0.006934,0.47936,0.27541,0.31087,0.048485,0.12001
45.824,0.0071588,0.47695,0.30017,0.30846,0.048485,0.12001
44.149,0.0073893,0.47459,0.32344,0.3061,0.048485,0.12001
42.583,0.0076247,0.47228,0.34515,0.30379,0.048485,0.12001
41.119,0.0078645,0.47002,0.36529,0.30153,0.048485,0.12001
39.75,0.0081084,0.46782,0.38382,0.29933,0.048485,0.12001
38.468,0.0083557,0.46568,0.40085,0.29719,0.048485,0.12001
37.265,0.0086058,0.4636,0.41642,0.29511,0.048485,0.12001
36.135,0.0088585,0.46158,0.43063,0.29309,0.048485,0.12001
35.074,0.0091133,0.45962,0.44356,0.29113,0.048485,0.12001
34.059,0.0093684,0.45773,0.45551,0.28924,0.048485,0.12001
33.107,0.009624,0.45591,0.46628,0.28741,0.048485,0.12001
32.216,0.0098791,0.45416,0.47593,0.28566,0.048485,0.12001
31.38,0.010133,0.45247,0.48456,0.28397,0.048485,0.12001
30.596,0.010386,0.45084,0.49228,0.28234,0.048485,0.12001
29.783,0.01063,0.44932,0.50009,0.28082,0.048485,0.12001
29.016,0.010872,0.44786,0.50706,0.27936,0.048485,0.12002
28.292,0.011113,0.44645,0.51325,0.27795,0.048485,0.12002
27.607,0.011353,0.44509,0.51875,0.27659,0.048485,0.12002
26.959,0.011591,0.44378,0.52361,0.27527,0.048485,0.12002
26.316,0.011824,0.44252,0.52818,0.27402,0.048485,0.12002
25.706,0.012055,0.44131,0.53219,0.27281,0.048485,0.12002
25.121,0.012285,0.44013,0.53572,0.27163,0.048485,0.12002
24.558,0.012518,0.43898,0.53884,0.27047,0.048485,0.12002
24.014,0.012753,0.43784,0.54156,0.26933,0.048485,0.12002
23.62,0.013002,0.43666,0.54292,0.26815,0.048485,0.12002
23.24,0.013252,0.43551,0.54408,0.267,0.048485,0.12002
22.873,0.013503,0.43438,0.54504,0.26587,0.048485,0.12002
22.519,0.013756,0.43327,0.54583,0.26476,0.048485,0.12002
# Event LAUNCHROD occurred at t=0.45 seconds
22.176,0.014009,0.43218,0.54645,0.26367,0.048485,0.12003
21.32,0.014356,0.43074,0.54911,0.26223,0.048485,0.12003
20.106,0.014879,0.42865,0.55154,0.26014,0.048485,0.12003
18.698,0.015674,0.42566,0.55162,0.25714,0.048485,0.12003
17.385,0.016855,0.42157,0.54795,0.25305,0.048485,0.12004
16.087,0.017958,0.41808,0.54246,0.24955,0.048485,0.12004
14.555,0.018963,0.41514,0.53269,0.24661,0.048485,0.12005
12.972,0.019903,0.41257,0.51879,0.24403,0.048485,0.12005
11.899,0.020838,0.41017,0.50663,0.24163,0.048485,0.12006
11.963,0.02182,0.4078,0.50429,0.23926,0.048485,0.12006
11.535,0.022712,0.40577,0.49785,0.23722,0.048485,0.12007
11.453,0.023591,0.40387,0.49474,0.23531,0.048485,0.12007
11.313,0.02442,0.40216,0.49133,0.2336,0.048485,0.12008
10.421,0.025121,0.40077,0.48091,0.2322,0.048485,0.12008
9.2973,0.025748,0.39957,0.46792,0.231,0.048485,0.12009
8.3073,0.026339,0.39848,0.45622,0.2299,0.048485,0.12009
7.583,0.026908,0.39746,0.44746,0.22888,0.048485,0.12009
7.4727,0.027495,0.39643,0.44517,0.22785,0.048485,0.1201
7.0705,0.028001,0.39557,0.44008,0.22698,0.048485,0.1201
6.6772,0.028459,0.39481,0.43527,0.22622,0.048485,0.12011
6.3832,0.028891,0.39411,0.43159,0.22551,0.048485,0.12011
5.6653,0.029232,0.39356,0.42416,0.22496,0.048485,0.12011
4.6132,0.029491,0.39315,0.41449,0.22455,0.048485,0.12011
3.9019,0.029756,0.39274,0.40851,0.22414,0.048485,0.12012
3.6108,0.03004,0.3923,0.40598,0.2237,0.048485,0.12012
3.3014,0.030284,0.39193,0.40351,0.22333,0.048485,0.12012
2.6411,0.030439,0.3917,0.39933,0.22309,0.048485,0.12012
2.4452,0.030623,0.39142,0.39801,0.22282,0.048485,0.12012
2.7044,0.030846,0.3911,0.39906,0.22249,0.048485,0.12012
2.5603,0.030969,0.39091,0.39809,0.22231,0.048485,0.12012
2.5472,0.031101,0.39072,0.39783,0.22211,0.048485,0.12013
2.5459,0.031228,0.39054,0.39763,0.22193,0.048485,0.12013
2.5881,0.031359,0.39035,0.39767,0.22174,0.048485,0.12013
2.9397,0.031551,0.39008,0.39936,0.22146,0.048485,0.12013
3.1452,0.031711,0.38985,0.40038,0.22123,0.048485,0.12013
3.4741,0.0319,0.38958,0.40223,0.22096,0.048485,0.12013
3.4824,0.03201,0.38943,0.40213,0.22081,0.048485,0.12013
3.265,0.032056,0.38936,0.40064,0.22075,0.048485,0.12013
3.2958,0.032157,0.38922,0.40069,0.22061,0.048485,0.12013
3.8597,0.032403,0.38888,0.40419,0.22026,0.048485,0.12014
4.441,0.032666,0.38852,0.40823,0.2199,0.048485,0.12014
