# Time (s),Thrust (N)
0,0.1411
1.5e-4,0.47033
3.5e-4,0.8466
5.5e-4,1.2229
7.5e-4,1.5991
9.5e-4,1.9754
0.00115,2.3517
0.00135,2.7279
0.00155,3.1042
0.00175,3.4805
0.00195,3.8567
0.00215,4.233
0.00235,4.6093
0.00255,4.9855
0.00275,5.3618
0.00295,5.7381
0.00315,6.1143
0.00335,6.4906
0.00355,6.8669
0.00375,7.2431
0.00395,7.6194
0.00415,7.9957
0.00435,8.3719
0.00455,8.7482
0.00475,9.1245
0.00495,9.5007
0.00515,9.877
0.00535,10.253
0.00555,10.63
0.00575,11.1
0.00605,11.805
0.0065,12.864
0.007175,14.439
0.008175,16.321
0.009175,18.202
0.010175,20.083
0.011175,21.965
0.012175,23.846
0.013175,25.727
0.014175,27.579
0.015175,28.197
0.016175,28.162
0.017175,28.128
0.018175,28.093
0.019175,28.059
0.020175,28.024
0.021175,27.99
0.022175,27.955
0.023175,27.921
0.024175,27.886
0.025175,27.852
0.026175,27.817
0.027175,27.783
0.028175,27.748
0.029175,27.714
0.030175,27.679
0.031175,27.645
0.032175,27.61
0.033175,27.576
0.034175,27.542
0.035175,27.507
0.036175,27.473
0.037175,27.438
0.038175,27.404
0.039175,27.369
0.040175,27.335
0.041175,27.3
0.042175,27.266
0.043175,27.231
0.044175,27.197
0.045175,27.162
0.046175,27.128
0.047175,27.093
0.048175,27.059
0.049175,27.024
0.050175,26.99
0.051175,26.955
0.052175,26.921
0.053175,26.886
0.054175,26.852
0.055175,26.817
0.056175,26.783
0.057175,26.748
0.058175,26.714
0.059175,26.679
0.060175,26.645
0.061175,26.61
0.062175,26.576
0.063175,26.541
0.064175,26.507
0.065175,26.473
0.066175,26.438
0.067175,26.404
0.068175,26.369
0.069175,26.335
0.070175,26.3
0.071175,26.266
0.072175,26.231
0.073175,26.197
0.074175,26.162
0.075175,26.128
0.076175,26.094
0.077175,26.076
0.078175,26.066
0.079175,26.057
0.080175,26.048
0.081175,26.039
0.082175,26.029
0.083175,26.02
0.084175,26.011
0.085175,26.002
0.086175,25.992
0.087175,25.983
0.088175,25.974
0.089175,25.965
0.090175,25.955
0.091175,25.946
0.092175,25.937
0.093175,25.928
0.094175,25.918
0.095175,25.909
0.096175,25.9
0.097175,25.891
0.098175,25.881
0.099175,25.872
0.10018,25.863
0.10118,25.854
0.10218,25.844
0.10318,25.835
0.10418,25.826
0.10518,25.817
0.10618,25.807
0.10718,25.798
0.10818,25.789
0.10918,25.779
0.11018,25.77
0.11118,25.761
0.11218,25.752
0.11318,25.742
0.11418,25.733
0.11518,25.724
0.11618,25.715
0.11718,25.705
0.11818,25.696
0.11918,25.687
0.12018,25.678
0.12118,25.668
0.12218,25.659
0.12318,25.65
0.12418,25.641
0.12518,25.631
0.12618,25.622
0.12718,25.613
0.12818,25.604
0.12918,25.594
0.13018,25.585
0.13118,25.576
0.13218,25.567
0.13318,25.557
0.13418,25.548
0.13518,25.539
0.13618,25.53
0.13718,25.52
0.13818,25.511
0.13918,25.502
0.14018,25.492
0.14118,25.483
0.14218,25.474
0.14318,25.465
0.14418,25.455
0.14518,25.446
0.14618,25.437
0.14718,25.428
0.14818,25.418
0.14918,25.409
0.15018,25.4
0.15118,25.391
0.15218,25.381
0.15318,25.372
0.15418,25.363
0.15518,25.354
0.15618,25.344
0.15718,25.335
0.15818,25.326
0.15918,25.317
0.16018,25.307
0.16118,25.298
0.16218,25.289
0.16318,25.28
0.16418,25.27
0.16518,25.261
0.16618,25.252
0.16718,25.243
0.16818,25.233
0.16918,25.224
0.17018,25.215
0.17118,25.205
0.17218,25.196
0.17318,25.187
0.17418,25.178
0.17518,25.168
0.17618,25.159
0.17718,25.15
0.17818,25.141
0.17918,25.131
0.18018,25.122
0.18118,25.113
0.18218,25.104
0.18318,25.094
0.18418,25.085
0.18518,25.076
0.18618,25.067
0.18718,25.057
0.18818,25.048
0.18918,25.039
0.19018,25.03
0.19118,25.02
0.19218,25.011
0.19318,25.002
0.19418,24.993
0.19518,24.983
0.19618,24.974
0.19718,24.965
0.19818,24.956
0.19918,24.946
0.20018,24.937
0.20118,24.921
0.20218,24.901
0.20318,24.882
0.20418,24.862
0.20518,24.843
0.20618,24.823
0.20718,24.804
0.20818,24.784
0.20918,24.765
0.21018,24.745
0.21118,24.726
0.21218,24.706
0.21318,24.687
0.21418,24.667
0.21518,24.648
