# Simulation 1 (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 172 data points written for 54 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Simulation warnings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Large angle of attack encountered (18.2).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,-2.0575,0,2.0575,0,0,0,0,0,0,28.61,-80.598,9.7922,90,0,0,0,1086.7,39.978,0.10082,2.76E-04,NaN,18.429,NaN,0.0058738,128405,8.405,0,0.45993,0,0.33992,9.76E-06,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.62,45.604,90,0,NaN,15,1013.2,340.39,0.01,8.96E-04
0.01,0,0,6.9494,0,6.9494,0,0,0,0,0,0,28.61,-80.598,9.7922,90,0,0,0,1086.7,39.978,0.10082,2.76E-04,NaN,18.429,NaN,0.0058261,127364,18.192,0,0.46062,0,0.34061,9.70E-06,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.62,45.604,90,0,NaN,15,1013.2,340.39,0.01,0.0012277
0.02,3.48E-04,0.069504,9.4953,0.069504,9.4953,0,0,0,0,0,0,28.61,-80.598,9.7922,87.978,0,0,0,1086.6,39.903,0.10078,2.76E-04,NaN,18.423,NaN,0.0057821,126402,20.958,5.41E-07,0.46127,5.00E-05,0.34125,9.63E-06,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.90E-06,7.62,45.604,90,0,NaN,15,1013.2,340.39,0.01,0.0014883
0.03,0.0015174,0.16447,10.763,0.16447,10.763,0,0,0,0,0,0,28.61,-80.598,9.7922,85.182,0,0,0,1086.5,39.799,0.10071,2.76E-04,NaN,18.416,NaN,0.0057512,125727,22.333,7.03E-06,0.46172,6.57E-04,0.34171,9.59E-06,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.11E-05,7.62,45.604,90,0,NaN,15,1013.2,340.39,0.01,0.0017321
0.04,0.0037003,0.27212,10.753,0.27212,10.753,0,0,0,0,0,0,28.61,-80.598,9.7922,81.99,0,0,0,1086.4,39.688,0.10065,2.76E-04,NaN,18.408,NaN,0.0057392,125464,22.319,3.10E-05,0.4619,0.0029088,0.34189,9.57E-06,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.48E-05,7.62,45.604,90,0,NaN,15,1013.2,340.39,0.01,0.0019768
0.05,0.0069592,0.37967,10.742,0.37967,10.742,0,0,0,0,0,0,28.61,-80.598,9.7922,78.805,0,0,0,1086.3,39.569,0.10057,2.76E-04,NaN,18.399,NaN,0.005745,125590,22.306,8.19E-05,0.46182,0.0076652,0.3418,9.58E-06,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.86E-05,7.62,45.604,90,0,NaN,15,1013.2,340.39,0.01,0.0022179
0.06,0.011293,0.48711,10.732,0.48711,10.732,0,0,0,0,0,0,28.61,-80.598,9.7922,75.779,0,0,0,1086.1,39.451,0.1005,2.76E-04,NaN,18.391,NaN,0.0058264,127369,22.292,1.66E-04,0.46062,0.015112,0.34061,9.70E-06,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.24E-05,7.62,45.604,90,0,NaN,15,1013.2,340.39,0.01,0.0024604
0.07,0.016701,0.59444,10.721,0.59444,10.721,0,0,0,0,0,0,28.61,-80.598,9.7922,72.852,0,0,0,1086,39.332,0.10043,2.76E-04,NaN,18.382,NaN,0.0059234,129490,22.278,2.90E-04,0.45922,0.025495,0.33921,9.84E-06,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.61E-05,7.62,45.604,90,0,NaN,15,1013.2,340.39,0.01,0.0026984
# Event LIFTOFF occurred at t=0.08 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08,0.023181,0.70167,10.711,0.70167,10.711,0,0,0,0,0,0,28.61,-80.598,9.7922,70.027,0,0,0,1085.9,39.213,0.10036,2.76E-04,NaN,18.374,NaN,0.0060353,131935,22.264,4.57E-04,0.45765,0.038733,0.33763,1.00E-05,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.98E-05,7.62,45.604,90,0,NaN,15,1013.2,340.39,0.01,0.0029624
