# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Angle of attack (rad),Pitch rate (rad/s),Mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (cm),Thrust (N),Drag force (N),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s)
0,0,-9.6608,0.13139,1.5708,0,1073.8,0.086493,2.4793e-4,55.639,0.1411,0,15,1013.2,340.39,1.225
1.5e-4,0,-9.3323,0.4599,1.5708,-0.11927,1073.8,0.086429,2.4793e-4,55.631,0.49385,0,15,1013.2,340.39,1.225
3.75e-4,0,-8.8395,0.95267,1.5708,-0.11936,1073.8,0.086337,2.4793e-4,55.621,1.023,0,15,1013.2,340.39,1.225
7.125e-4,0,-8.1003,1.6918,1.5708,-0.11951,1073.8,0.086205,2.4793e-4,55.605,1.8167,0,15,1013.2,340.39,1.225
0.0012188,0,-6.7808,3.0114,1.5708,-0.1197,1073.8,0.086019,2.4793e-4,55.584,3.0072,0,15,1013.2,340.39,1.225
0.0019781,0,-5.4503,4.3419,1.5708,-0.11996,1073.8,0.085769,2.4792e-4,55.555,4.6622,0,15,1013.2,340.39,1.225
0.0029781,0,-3.6981,6.094,1.5708,-0.12026,1073.8,0.085491,2.4792e-4,55.522,6.5435,0,15,1013.2,340.39,1.225
0.0039781,0,-1.9459,7.8462,1.5708,-0.12049,1073.7,0.08527,2.4792e-4,55.496,8.4248,0,15,1013.2,340.39,1.225
0.0049781,0,-0.19375,9.5984,1.5708,-0.12067,1073.7,0.085105,2.4792e-4,55.476,10.306,0,15,1013.2,340.39,1.225
0.0059781,0,1.5585,11.351,1.5708,-0.12079,1073.7,0.084994,2.4792e-4,55.462,12.188,0,15,1013.2,340.39,1.225
0.0069781,7.7925e-7,3.3107,13.103,1.57,-0.12084,1073.7,0.084938,2.4792e-4,55.455,14.069,0,15,1013.2,340.39,1.225
0.0079781,3.9931e-6,5.063,14.855,1.5684,-0.12085,1073.7,0.084936,2.4792e-4,55.455,15.95,0,15,1013.2,340.39,1.225
0.0089781,1.1394e-5,6.8153,16.607,1.5658,-0.1208,1073.7,0.084987,2.4792e-4,55.461,17.832,0,15,1013.2,340.39,1.225
