# Simulation 1 (Up to date)
# 850 data points written for 2 variables.
#
# Angle of attack (°),Normal force coefficient (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
90,NaN
90,NaN
90,NaN
90,NaN
89.933,NaN
89.686,NaN
89.334,NaN
88.95,NaN
88.535,NaN
88.088,NaN
87.61,NaN
87.099,NaN
86.557,NaN
85.982,NaN
85.375,NaN
84.737,NaN
84.081,NaN
83.424,NaN
82.765,NaN
82.105,NaN
81.444,NaN
80.782,NaN
80.119,NaN
79.455,NaN
78.791,NaN
78.126,NaN
77.476,NaN
76.827,NaN
76.18,NaN
75.535,NaN
74.892,NaN
74.251,NaN
73.612,NaN
72.976,NaN
72.342,NaN
71.711,NaN
71.083,NaN
# Event LIFTOFF occurred at t=0.074 seconds
70.458,NaN
69.836,NaN
69.217,NaN
68.601,NaN
67.989,NaN
67.381,NaN
66.776,NaN
66.175,NaN
65.578,NaN
64.985,NaN
64.396,NaN
63.811,NaN
63.23,NaN
62.654,NaN
62.038,NaN
61.425,NaN
60.815,NaN
60.208,NaN
59.604,NaN
59.004,NaN
58.408,NaN
57.816,NaN
57.228,NaN
56.644,NaN
56.064,NaN
55.488,NaN
54.917,NaN
54.35,NaN
53.787,NaN
53.229,NaN
52.676,NaN
52.127,NaN
51.582,NaN
51.042,NaN
50.507,NaN
49.977,NaN
49.451,NaN
48.93,NaN
48.414,NaN
48.029,NaN
47.649,NaN
47.276,NaN
46.907,NaN
46.544,NaN
46.186,NaN
45.833,NaN
45.485,NaN
45.142,NaN
44.804,NaN
44.47,NaN
44.142,NaN
43.818,NaN
43.499,NaN
43.184,NaN
42.873,NaN
42.567,NaN
42.265,NaN
41.967,NaN
41.674,NaN
41.384,NaN
41.099,NaN
40.817,NaN
40.539,NaN
40.265,NaN
39.966,NaN
39.67,NaN
39.378,NaN
39.089,NaN
38.805,NaN
38.523,NaN
38.246,NaN
37.971,NaN
37.701,NaN
37.433,NaN
37.169,NaN
36.908,NaN
36.65,NaN
36.396,NaN
36.144,NaN
35.896,NaN
35.651,NaN
35.408,NaN
35.169,NaN
34.932,NaN
34.699,NaN
34.468,NaN
34.24,NaN
34.014,NaN
33.791,NaN
33.567,NaN
33.346,NaN
33.127,NaN
32.91,NaN
32.696,NaN
32.485,NaN
32.277,NaN
32.071,NaN
31.868,NaN
31.667,NaN
31.469,NaN
31.273,NaN
31.08,NaN
30.889,NaN
30.701,NaN
30.515,NaN
30.332,NaN
30.15,NaN
29.971,NaN
29.794,NaN
29.619,NaN
29.447,NaN
29.276,NaN
29.108,NaN
28.941,NaN
28.842,NaN
28.744,NaN
28.648,NaN
28.553,NaN
28.459,NaN
28.367,NaN
28.276,NaN
28.187,NaN
28.099,NaN
28.012,NaN
27.926,NaN
27.841,NaN
27.758,NaN
27.676,NaN
27.595,NaN
27.515,NaN
27.436,NaN
27.359,NaN
27.282,NaN
27.207,NaN
27.132,NaN
27.059,NaN
26.986,NaN
26.915,NaN
26.845,NaN
26.709,NaN
26.574,NaN
26.441,NaN
26.309,NaN
26.178,NaN
26.049,NaN
25.921,NaN
25.794,NaN
25.669,NaN
25.545,NaN
25.422,NaN
25.3,NaN
25.178,NaN
25.058,NaN
24.938,NaN
24.819,NaN
24.702,NaN
24.584,NaN
24.468,NaN
24.353,NaN
24.238,NaN
24.124,NaN
24.011,NaN
23.899,NaN
23.787,NaN
23.714,NaN
23.642,NaN
23.571,NaN
23.499,NaN
23.429,NaN
23.359,NaN
23.289,NaN
23.22,NaN
23.151,NaN
23.083,NaN
23.015,NaN
22.948,NaN
22.881,NaN
22.815,NaN
22.749,NaN
22.684,NaN
22.619,NaN
22.554,NaN
