Time,Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Propellant mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Reference length (m),Reference area (cm²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-9.78715435,0,9.78715435,0,0,0,0,0,0,0.372075543,-2.756281212,9.787154704,1.570796327,0,0,0,1.09267399,0.103,0.088701716,2.50E-04,NaN,0.562361109,NaN,0.005875632,128445.8848,3.87E-07,0,0.49231225,0,0.323823004,0.048484757,0.120004488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,1.50E-08,0.0019032
1.50E-08,0,0,-9.787153465,0,9.787179839,0,0,0,0,0,0.022721467,0.372075543,-2.756281212,9.787154704,1.570796327,0,0,0,1.09267399,0.103,0.088701716,2.50E-04,0.141120469,0.562361109,-5.528092392,0.005875632,128445.8848,1.35E-06,0,0.49231225,0,0.323823004,0.048484757,0.120004488,2.222087998,-12.28369135,1.01E-05,0,0,0,0,0,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,2.25E-08,0.0029901
3.75E-08,0,0,-9.787152136,0,9.787178511,0,0,0,0,0,0.022721467,0.372075543,-2.756281212,9.787154704,1.570796327,0,0,0,1.09267399,0.103,0.088701716,2.50E-04,0.141120469,0.562361109,-5.528092392,0.005875632,128445.8848,2.81E-06,0,0.49231225,0,0.323823004,0.048484757,0.120004488,2.222087998,-12.28421416,-7.02E-05,0,0,0,0,0,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,3.38E-08,0.0036736
7.13E-08,0,0,-9.787150144,0,9.787176518,0,0,0,0,0,0.022721467,0.372075543,-2.756281212,9.787154704,1.570796327,0,-6.63E-09,0,1.09267399,0.103,0.088701716,2.50E-04,0.141120469,0.562361109,-5.528092392,0.005875632,128445.8848,4.98E-06,0,0.49231225,0,0.323823004,0.048484757,0.120004488,2.222087998,-12.28366585,-1.70E-04,0,0,0,0,-1.49E-15,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,5.06E-08,0.0044037
1.22E-07,0,0,-9.787147155,0,9.787173529,0,0,0,0,0,0.022721467,0.372075543,-2.756281212,9.787154704,1.570796327,0,-1.26E-08,0,1.09267399,0.103,0.088701716,2.50E-04,0.141120469,0.562361109,-5.528092392,0.005875632,128445.8848,8.25E-06,0,0.49231225,0,0.323823004,0.048484757,0.120004488,2.222087998,-12.28345947,3.44E-04,0,0,0,0,-5.39E-15,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,7.59E-08,0.0054591
1.98E-07,0,0,-9.787142672,0,9.787169046,0,0,0,0,0,0.022721467,0.372075543,-2.756281212,9.787154704,1.570796327,0,-2.16E-08,0,1.09267399,0.103,0.088701716,2.50E-04,0.141120469,0.562361109,-5.528092392,0.005875632,128445.8848,1.31E-05,0,0.49231225,0,0.323823004,0.048484757,0.120004488,2.222087998,-12.28424758,-4.87E-04,0,0,0,0,-1.58E-14,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,1.14E-07,0.0063188
3.12E-07,0,0,-9.787135947,0,9.787162321,0,0,0,0,0,0.022721467,0.372075543,-2.756281212,9.787154704,1.570796327,0,-3.50E-08,0,1.09267399,0.103,0.088701716,2.50E-04,0.141120469,0.562361109,-5.528092392,0.005875632,128445.8848,2.05E-05,0,0.49231225,0,0.323823004,0.048484757,0.120004488,2.222087998,-12.28381031,-4.76E-04,0,0,0,0,-4.15E-14,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,1.71E-07,0.0071075
4.83E-07,0,0,-9.787125859,0,9.787152234,0,0,0,0,0,0.022721467,0.372075543,-2.756281212,9.787154704,1.570796327,0,-5.51E-08,0,1.09267399,0.103,0.088701716,2.50E-04,0.141120469,0.562361109,-5.528092392,0.005875632,128445.8848,3.15E-05,0,0.49231225,0,0.323823004,0.048484757,0.120004488,2.222087998,-12.28344012,3.65E-04,0,0,0,0,-1.03E-13,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,2.56E-07,0.0080313
7.39E-07,0,0,-9.787110728,0,9.787137103,0,0,0,0,0,0.022721467,0.372075543,-2.756281212,9.787154704,1.570796327,0,-8.53E-08,0,1.09267399,0.103,0.088701716,2.50E-04,0.141120469,0.562361109,-5.528092392,0.005875632,128445.8848,4.81E-05,0,0.49231225,0,0.323823004,0.048484757,0.120004488,2.222087998,-12.28346454,4.27E-04,0,0,0,0,-2.47E-13,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,3.84E-07,0.008965
1.12E-06,0,0,-9.787088032,0,9.787114407,0,0,0,0,0,0.022721467,0.372075543,-2.756281212,9.787154704,1.570796327,0,-1.31E-07,0,1.09267399,0.103,0.088701716,2.50E-04,0.141120469,0.562361109,-5.528092392,0.005875632,128445.8848,7.29E-05,0,0.49231225,0,0.323823004,0.048484757,0.120004488,2.222087998,-12.28432884,3.95E-04,0,0,0,0,-5.79E-13,0.0762,45.60367312,1.570796327,0,2,15,1013.25,340.3889,5.77E-07,0.009613
