Time,Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),AoA (),Multiplier ()
0,0,0,-9.779,0,9.779,0,0,0,0,0,0,0.49934,-1.4067,9.7922,1.5708,0,0,0,1073.8,84.1,0.086493,2.48E-04,NaN,55.639,NaN,0.0058756,128446,0.01411,0,0.49231,0,0.32382,0.048485,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
1.50E-05,0,0,-9.7462,0,9.7462,0,0,0,0,0,0.023121,0.49934,-1.4067,9.7922,1.5708,0,0,0,1073.8,84.1,0.086486,2.48E-04,14.112,55.638,-5.4496,0.0058756,128446,0.049385,0,0.49231,0,0.32382,0.048485,0.12,2.2221,-12.109,6.48E-05,0,0,0,0,0,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
3.75E-05,0,0,-9.6969,0,9.6969,0,0,0,0,0,0.023121,0.49934,-1.4067,9.7922,1.5708,0,-2.68E-06,-2.68E-06,1073.8,84.1,0.086477,2.48E-04,14.112,55.637,-5.4494,0.0058756,128446,0.1023,0,0.49231,0,0.32382,0.048485,0.12,2.2221,-12.11,3.40E-04,0,0,0,0,0,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
7.13E-05,0,0,-9.623,0,9.623,0,0,0,0,0,0.023121,0.49934,-1.4067,9.7922,1.5708,0,-6.71E-06,-6.71E-06,1073.8,84.099,0.086463,2.48E-04,14.112,55.635,-5.4492,0.0058756,128446,0.18167,0,0.49231,0,0.32382,0.048485,0.12,2.2221,-12.109,9.13E-05,0,0,0,0,0,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
1.22E-04,0,0,-9.5121,0,9.5121,0,0,0,0,0,0.023121,0.49934,-1.4067,9.7922,1.5708,0,-1.27E-05,-1.27E-05,1073.8,84.099,0.086441,2.48E-04,14.112,55.633,-5.4489,0.0058756,128446,0.30072,0,0.49231,0,0.32382,0.048485,0.12,2.2221,-12.108,-2.23E-04,0,0,0,0,-5.51E-09,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
1.98E-04,0,0,-9.3458,0,9.3458,0,0,0,0,0,0.023121,0.49934,-1.4067,9.7922,1.5708,0,-2.18E-05,-2.18E-05,1073.8,84.099,0.08641,2.48E-04,14.112,55.629,-5.4484,0.0058756,128446,0.4793,0,0.49231,0,0.32382,0.048485,0.12,2.2221,-12.107,-3.27E-04,0,0,0,0,-1.61E-08,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
3.12E-04,0,0,-9.0963,0,9.0964,0,0,0,0,0,0.023121,0.49934,-1.4067,9.7922,1.5708,0,-3.54E-05,-3.54E-05,1073.8,84.098,0.086363,2.48E-04,14.112,55.624,-5.4477,0.0058756,128446,0.74717,0,0.49231,0,0.32382,0.048485,0.12,2.2221,-12.106,-2.99E-05,0,0,0,0,-4.25E-08,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
4.83E-04,0,0,-8.7221,0,8.7222,0,0,0,0,0,0.023121,0.49934,-1.4067,9.7922,1.5708,0,-5.58E-05,-5.58E-05,1073.8,84.096,0.086294,2.48E-04,14.112,55.616,-5.4467,0.0058756,128446,1.149,0,0.49231,0,0.32382,0.048485,0.12,2.2221,-12.103,4.00E-04,0,0,0,0,-1.06E-07,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
7.39E-04,0,0,-8.1608,0,8.1609,0,0,0,0,0,0.023122,0.49934,-1.4067,9.7922,1.5708,0,-8.64E-05,-8.64E-05,1073.8,84.094,0.086195,2.48E-04,14.112,55.604,-5.4452,0.0058756,128446,1.7517,0,0.49231,0,0.32382,0.048485,0.12,2.2221,-12.099,4.85E-04,0,0,0,0,-2.53E-07,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
0.0011233,0,0,-7.3189,0,7.3189,0,0,0,0,0,0.023122,0.49934,-1.4067,9.7922,1.5708,0,-1.32E-04,-1.32E-04,1073.8,84.092,0.086053,2.48E-04,14.112,55.588,-5.443,0.0058756,128446,2.6557,0,0.49231,0,0.32382,0.048485,0.12,2.2221,-12.095,4.45E-04,0,0,0,0,-5.95E-07,7.62,45.604,1.5708,0,2,15,1,0,0,0,NaN,0
