Time,Normal force coefficient (?)
0,NaN
1.50E-04,NaN
3.50E-04,NaN
5.50E-04,NaN
7.50E-04,NaN
9.50E-04,NaN
0.00115,NaN
0.00135,NaN
0.00155,NaN
0.00175,NaN
0.00195,NaN
0.00215,NaN
0.00235,NaN
0.00255,NaN
0.00275,NaN
0.00295,NaN
0.00315,NaN
0.00335,NaN
0.00355,NaN
0.00375,NaN
0.00395,NaN
0.00415,NaN
0.00435,NaN
0.00455,NaN
0.00475,NaN
0.00495,NaN
0.00515,NaN
0.00535,NaN
0.00555,NaN
0.00575,2.2221
0.00605,2.2221
0.0065,2.2221
0.007175,2.2221
0.008175,2.2221
0.009175,2.222
0.010175,2.222
0.011175,2.2219
0.012175,2.2217
0.013175,2.2214
0.014175,2.221
0.015175,2.2204
0.016175,2.2197
0.017175,2.2188
0.018175,2.2178
0.019175,2.2167
0.020175,2.2154
0.021175,2.214
0.022175,2.2125
0.023175,2.2109
0.024175,2.2092
0.025175,2.2073
0.026175,2.2053
0.027175,2.2032
0.028175,2.201
0.029175,2.1986
0.030175,2.1962
0.031175,2.1936
0.032175,2.1909
0.033175,2.1882
0.034175,2.1853
0.035175,2.1823
0.036175,2.1793
0.037175,2.1761
0.038175,2.1728
0.039175,2.1695
0.040175,2.166
0.041175,2.1625
0.042175,2.1589
0.043175,2.1552
0.044175,2.1514
0.045175,2.1476
0.046175,2.1436
0.047175,2.1396
0.048175,2.1356
0.049175,2.1314
0.050175,2.1272
0.051175,2.1229
0.052175,2.1186
0.053175,2.1142
0.054175,2.1097
0.055175,2.1052
0.056175,2.1006
0.057175,2.096
0.058175,2.0913
0.059175,2.0866
0.060175,2.0818
0.061175,2.077
0.062175,2.0721
0.063175,2.0673
0.064175,2.0623
0.065175,2.0573
0.066175,2.0523
0.067175,2.0473
0.068175,2.0422
0.069175,2.0371
0.070175,2.032
0.071175,2.0269
0.072175,2.0217
0.073175,2.0165
0.074175,2.0113
0.075175,2.006
0.076175,2.0008
0.077175,1.9955
0.078175,1.9902
0.079175,1.9849
0.080175,1.9796
0.081175,1.9742
0.082175,1.9688
0.083175,1.9634
0.084175,1.958
0.085175,1.9526
0.086175,1.9472
0.087175,1.9417
0.088175,1.9363
0.089175,1.9308
0.090175,1.9253
0.091175,1.9198
0.092175,1.9143
0.093175,1.9088
0.094175,1.9033
0.095175,1.8978
0.096175,1.8923
0.097175,1.8868
0.098175,1.8813
0.099175,1.8758
0.10018,1.8703
0.10118,1.8647
0.10218,1.8592
0.10318,1.8537
0.10418,1.8482
0.10518,1.8427
0.10618,1.8372
0.10718,1.8317
0.10818,1.8262
0.10918,1.8207
0.11018,1.8153
0.11118,1.8098
0.11218,1.8044
0.11318,1.7989
0.11418,1.7935
0.11518,1.7881
0.11618,1.7826
0.11718,1.7772
0.11818,1.7719
0.11918,1.7665
0.12018,1.7611
0.12118,1.7558
0.12218,1.7504
0.12318,1.7451
0.12418,1.7398
0.12518,1.7345
0.12618,1.7292
0.12718,1.724
0.12818,1.7187
0.12918,1.7135
0.13018,1.7083
0.13118,1.7031
0.13218,1.6979
0.13318,1.6928
0.13418,1.6876
0.13518,1.6825
0.13618,1.6774
0.13718,1.6723
0.13818,1.6672
0.13918,1.6622
0.14018,1.6572
0.14118,1.6522
0.14218,1.6472
0.14318,1.6422
0.14418,1.6373
0.14518,9.4131
0.14618,9.3519
0.14718,9.2912
0.14818,9.231
0.14918,9.1711
0.15018,9.1118
0.15118,9.0528
0.15218,8.9944
0.15318,8.9363
0.15418,8.8787
0.15518,8.8216
0.15618,8.7648
0.15718,8.7085
0.15818,8.6527
0.15918,8.5973
0.16018,8.5423
0.16118,8.4877
0.16218,8.4336
0.16318,8.3799
0.16418,8.3266
0.16518,8.2738
0.16618,8.2213
0.16718,8.1693
0.16818,8.1177
0.16918,8.0665
0.17018,8.0157
0.17118,7.9654
0.17218,7.9154
0.17318,7.8658
0.17418,7.8167
0.17518,7.7679
0.17618,7.7196
0.17718,7.6716
0.17818,7.624
0.17918,7.5768
0.18018,7.53
0.18118,7.4836
0.18218,7.4376
0.18318,7.3919
0.18418,7.3466
0.18518,7.3017
0.18618,7.2571
0.18718,7.213
0.18818,7.1692
0.18918,7.1257
0.19018,7.0826
0.19118,7.0399
0.19218,6.9975
0.19318,6.9555
0.19418,6.9138
0.19518,6.8725
0.19618,6.8315
0.19718,6.7908
0.19818,6.7505
0.19918,6.7105
0.20018,6.6709
0.20118,6.6316
0.20218,6.5926
0.20318,6.554
0.20418,6.5157
0.20518,6.4778
0.20618,6.4402
0.20718,6.403
0.20818,6.3661
0.20918,6.3295
0.21018,6.2932
0.21118,6.2573
0.21218,6.2217
0.21318,6.1864
0.21418,6.1515
0.21518,6.1168
0.21618,6.0825
0.21718,6.0484
0.21818,6.0147
0.21918,5.9813
0.22018,5.9481
0.22118,5.9153
0.22218,5.8827
0.22318,5.8505
0.22418,5.8185
0.22518,5.7868
0.22618,5.7554
0.22718,5.7243
0.22818,5.6934
0.22918,5.6628
0.23018,5.6325
0.23118,5.6025
0.23218,5.5727
0.23318,5.5432
0.23418,5.5139
0.23518,5.4849
0.23618,5.4561
0.23718,5.4276
0.23818,5.3994
0.23918,5.3714
0.24018,5.3436
0.24118,5.3161
0.24218,5.2888
0.24318,5.2618
0.24418,5.235
0.24518,5.2084
0.24618,5.1821
0.24718,5.1559
0.24818,5.13
0.24918,5.1044
0.25018,5.0789
0.25118,5.0537
0.25218,5.0287
0.25318,5.0039
0.25418,4.9793
0.25518,4.9549
0.25618,4.9307
0.25718,4.9068
0.25818,4.883
0.25918,4.8594
0.26018,4.8361
0.26118,4.8129
0.26218,4.7899
0.26318,4.7672
0.26418,4.7446
0.26518,4.7222
0.26618,4.7
0.26718,4.6779
0.26818,4.6561
0.26918,4.6344
0.27018,4.613
0.27118,4.5917
0.27218,4.5706
0.27318,4.5496
0.27418,4.5288
0.27518,4.5083
0.27618,4.4878
0.27718,4.4676
0.27818,4.4475
0.27918,4.4275
0.28018,4.4078
0.28118,4.3882
0.28218,4.3687
0.28318,4.3495
0.28418,4.3303
0.28518,4.3114
0.28618,4.2925
0.28718,4.2739
0.28818,4.2554
0.28918,4.237
0.29018,4.2188
0.29118,4.2007
0.29218,4.1828
0.29318,4.165
0.29418,4.1474
0.29518,4.1299
0.29618,4.1126
0.29718,4.0953
0.29818,4.0783
0.29918,4.0613
0.30018,4.0445
0.30118,4.0278
0.30218,4.0113
0.30318,3.9949
0.30418,3.9786
0.30518,3.9625
0.30618,3.9464
0.30718,3.9305
0.30818,3.9148
0.30918,3.8991
0.31018,3.8836
0.31118,3.8682
0.31218,3.8529
0.31318,3.8377
0.31418,3.8226
0.31518,3.8077
0.31618,3.7929
0.31718,3.7781
0.31818,3.7635
0.31918,3.749
0.32018,3.7346
0.32118,3.7204
0.32218,3.7062
0.32318,3.6921
0.32418,3.6781
0.32518,3.6643
0.32618,3.6505
0.32718,3.6369
0.32818,3.6233
0.32918,3.6099
0.33018,3.5965
0.33118,3.5833
0.33218,3.5701
0.33318,3.557
0.33418,3.5441
0.33518,3.5312
0.33618,3.5184
0.33718,3.5057
0.33818,3.4931
0.33918,3.4807
0.34018,3.4682
0.34118,3.4559
0.34218,3.4437
0.34318,3.4316
0.34418,3.4195
0.34518,3.4076
0.34618,3.3957
0.34718,3.3839
0.34818,3.3722
0.34918,3.3606
0.35018,3.349
0.35118,3.3376
0.35218,3.3262
0.35318,3.3149
0.35418,3.3037
0.35518,3.2926
0.35618,3.2815
0.35718,3.2706
0.35818,3.2597
0.35918,3.2488
0.36018,3.2381
0.36118,3.2274
0.36218,3.2169
0.36318,3.2063
0.36418,3.1959
0.36518,3.1855
0.36618,3.1753
0.36718,3.165
0.36818,3.1549
0.36918,3.1448
0.37018,3.1348
0.37118,3.1249
0.37218,3.115
0.37318,3.1052
0.37418,3.0955
0.37518,3.0858
0.37618,3.0762
0.37718,3.0667
0.37818,3.0572
0.37918,3.0479
0.38018,3.0385
0.38118,3.0293
0.38218,3.0201
0.38318,3.0109
0.38418,3.0019
0.38518,2.9928
0.38618,2.9839
0.38718,2.975
0.38818,2.9662
0.38918,2.9574
0.39018,2.9487
0.39118,2.9401
0.39218,2.9315
0.39318,2.923
0.39418,2.9145
0.39518,2.9061
0.39618,2.8977
0.39718,2.8894
0.39818,2.8812
0.39918,2.873
0.40018,2.8649
0.40118,2.8568
0.40218,2.8488
0.40318,2.8408
0.40418,2.8329
0.40518,2.825
0.40618,2.8172
0.40718,2.8095
0.40818,2.8018
0.40918,2.7941
0.41018,2.7865
0.41118,2.779
0.41218,2.7715
0.41318,2.7641
0.41418,2.7567
0.41518,2.7493
0.41618,2.742
0.41718,2.7348
0.41818,2.7276
0.41918,2.7204
0.42018,2.7133
0.42118,2.7063
0.42218,2.6993
0.42318,2.6923
0.42418,2.6854
0.42518,2.6785
0.42618,2.6717
0.42718,2.6649
0.42818,2.6582
0.42918,2.6515
0.43018,2.6449
0.43118,2.6383
0.43218,2.6317
0.43318,2.6252
0.43418,2.6187
0.43518,2.6123
0.43618,2.6059
0.43718,2.5996
0.43818,2.5933
0.43918,2.587
0.44018,2.5808
0.44118,2.5746
0.44218,2.5685
0.44318,2.5624
0.44418,2.5563
0.44518,2.5503
0.44618,2.5444
0.44718,2.5384
0.44818,2.5325
0.44918,2.5267
0.45018,2.5209
0.45118,2.5151
0.45218,2.5093
0.45318,2.5036
0.45418,2.498
0.45518,2.4923
0.45618,2.4867
0.45718,2.4812
0.45818,2.4757
0.45918,2.4702
0.46018,2.4647
0.46118,2.4593
0.46218,2.4539
0.46318,2.4486
0.46418,2.4433
0.46518,2.438
0.46618,2.4328
0.46718,2.4276
0.46818,2.4224
0.46918,2.4173
0.47018,2.4122
0.47118,2.4072
0.47218,2.4022
0.47318,2.3972
0.47418,2.3922
0.47518,2.3873
0.47618,2.3825
0.47718,2.3776
0.47818,2.3728
0.47918,2.368
0.48018,2.3633
0.48118,2.3586
0.48218,2.3539
0.48318,2.3493
0.48418,2.3447
0.48518,2.3401
0.48618,2.3355
0.48718,2.331
0.48818,2.3266
0.48918,2.3221
0.49018,2.3177
0.49118,2.3133
0.49218,2.309
0.49318,2.3046
0.49418,2.3004
0.49518,2.2961
0.49618,2.2919
0.49718,2.2877
0.49818,2.2835
0.49918,2.2794
0.50018,2.2752
0.50118,2.2712
0.50218,2.2671
0.50318,2.2631
0.50418,2.2591
0.50518,2.2551
