# Simulation 1 (Up to date)
# 167 data points written for 6 variables.
#
# Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),Normal force coefficient (​),Pitch moment coefficient (​),Pitch damping coefficient (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,90,0,NaN,NaN,NaN
0,90,0,NaN,NaN,NaN
0.071691,87.903,0,NaN,NaN,NaN
0.16918,85.092,0,NaN,NaN,NaN
0.27951,81.975,0,NaN,NaN,NaN
0.38974,78.946,0,NaN,NaN,NaN
0.49987,76.141,0,NaN,NaN,NaN
0.60989,73.487,0,NaN,NaN,NaN
# Event LIFTOFF occurred at t=0.08 seconds
0.7198,70.983,0,NaN,NaN,NaN
0.8296,68.624,0,NaN,NaN,NaN
0.9393,66.406,0,NaN,NaN,NaN
1.0489,63.755,0,NaN,NaN,NaN
1.1582,61.17,0,NaN,NaN,NaN
1.2671,58.663,0,NaN,NaN,NaN
1.3755,56.239,0,NaN,NaN,NaN
1.4835,53.902,0,NaN,NaN,NaN
1.591,52.209,0,NaN,NaN,NaN
1.6981,50.624,0,NaN,NaN,NaN
1.8048,49.14,0,NaN,NaN,NaN
1.911,47.749,0,NaN,NaN,NaN
2.0167,46.444,0,NaN,NaN,NaN
2.1221,44.773,0,NaN,NaN,NaN
2.2269,43.178,0,NaN,NaN,NaN
2.3313,41.656,0,NaN,NaN,NaN
2.4353,40.203,0,NaN,NaN,NaN
2.5388,38.817,0,NaN,NaN,NaN
2.6419,37.632,0,NaN,NaN,NaN
2.7441,36.509,0,NaN,NaN,NaN
2.8451,35.449,0,NaN,NaN,NaN
2.9448,34.447,0,NaN,NaN,NaN
3.0433,33.499,0,NaN,NaN,NaN
3.1405,32.866,0,NaN,NaN,NaN
3.2364,32.272,0,NaN,NaN,NaN
3.3311,31.715,0,NaN,NaN,NaN
3.4245,31.192,0,NaN,NaN,NaN
3.5167,30.7,0,NaN,NaN,NaN
3.6076,30.289,0,NaN,NaN,NaN
3.6972,29.903,0,NaN,NaN,NaN
3.7863,29.535,0,NaN,NaN,NaN
3.8757,29.181,0,NaN,NaN,NaN
3.9652,28.839,0,NaN,NaN,NaN
4.0549,28.219,0,NaN,NaN,NaN
4.1449,27.617,0,NaN,NaN,NaN
4.235,27.034,0,NaN,NaN,NaN
4.3254,26.468,0,NaN,NaN,NaN
# Event LAUNCHROD occurred at t=0.45 seconds
4.4159,25.919,0,3.947,12.326,0
4.5521,24.97,0.54875,3.7104,11.47,4.9368e-4
4.7556,23.614,1.3449,3.3818,10.287,0.002775
5.0517,22.576,2.5074,3.1381,9.4179,0.0086722
5.47,21.432,4.3472,2.878,8.4904,0.022545
5.8629,19.611,6.1616,2.4829,7.0963,0.040252
6.231,17.661,7.8165,2.0871,5.7208,0.058485
6.5783,15.852,9.2844,1.7462,4.56,0.075189
6.9083,14.414,10.566,1.4944,3.7201,0.089169
7.2211,13.599,11.756,1.3594,3.2753,0.10128
7.5165,12.63,12.918,1.2062,2.7807,0.11328
7.7946,11.265,13.899,1.0044,2.1477,0.12275
8.0554,10.713,14.741,0.92753,1.9122,0.12909
8.2987,9.8573,15.612,0.81373,1.5706,0.13659
8.5248,8.5174,16.21,0.64901,1.0985,0.14028
8.7334,8.5901,16.77,0.65753,1.1227,0.14193
8.9248,8.5249,17.404,0.64989,1.1006,0.14534
9.0988,8.0394,17.981,0.59427,0.94663,0.14877
9.2555,7.464,18.513,0.5312,0.77654,0.15202
9.3953,6.6468,18.917,0.44696,0.55942,0.15405
9.5215,6.0865,19.228,0.39286,0.42746,0.15455
9.6359,5.4303,19.473,0.3333,0.28983,0.15455
9.7385,4.9859,19.621,0.2953,0.20777,0.15305
9.8296,4.9427,19.775,0.29171,0.2036,0.15133
9.9092,4.388,19.895,0.24717,0.11327,0.15041
9.9775,4.011,19.943,0.21858,0.060532,0.14849
10.035,3.9553,19.995,0.21448,0.055944,0.1464
10.081,3.8426,20.023,0.20626,0.043398,0.14443
10.117,3.4625,20.061,0.17945,-0.0022719,0.14351
10.142,2.7742,20.018,0.13447,-0.070639,0.14247
10.164,2.9283,19.968,0.14414,-0.053615,0.13973
10.186,3.0696,19.935,0.15322,-0.037092,0.13734
10.208,3.009,19.905,0.1493,-0.040627,0.1355
10.231,2.8796,19.869,0.14106,-0.050883,0.13383
10.254,2.8323,19.823,0.13809,-0.052514,0.13194
10.278,2.9672,19.785,0.14662,-0.037826,0.12978
10.304,3.4213,19.766,0.17663,0.013449,0.12709
10.331,4.1299,19.822,0.22745,0.10914,0.12465
10.361,4.2778,19.949,0.23867,0.13145,0.12457
10.392,4.1079,20.047,0.2258,0.10672,0.12507
10.427,4.1329,20.151,0.22767,0.11047,0.12513
10.465,4.0287,20.246,0.2199,0.096348,0.12552
10.507,4.1353,20.334,0.22786,0.11213,0.1252
10.552,4.2511,20.461,0.23663,0.13027,0.12535
10.599,4.1355,20.572,0.22787,0.11271,0.12621
10.648,4.0735,20.68,0.22322,0.10283,0.12697
10.7,4.0294,20.77,0.21994,0.096731,0.12758
10.756,4.3904,20.879,0.24735,0.1531,0.12692
10.815,4.7658,21.079,0.27718,0.21623,0.12726
10.877,5.0675,21.306,0.30213,0.27081,0.1282
10.944,5.504,21.647,0.33979,0.3564,0.1298
11.015,5.8195,22.037,0.36813,0.42301,0.13246
11.091,6.2609,22.556,0.40939,0.52239,0.13581
11.172,6.6578,23.164,0.44806,0.61832,0.14022
11.259,7.0888,23.937,0.49175,0.72894,0.14605
11.351,7.3376,24.807,0.51776,0.79299,0.15393
11.451,7.6279,25.784,0.54885,0.87113,0.1624
11.561,7.7987,26.874,0.5675,0.9145,0.17272
11.683,7.9234,28.003,0.58131,0.94392,0.18335
11.816,8.1507,29.243,0.60683,1.0074,0.19334
11.96,8.1585,30.587,0.60771,0.99847,0.20619
12.116,7.9811,31.87,0.58774,0.92923,0.21988
12.285,7.8694,33.114,0.57531,0.88491,0.23102
12.466,7.8012,34.34,0.56778,0.85648,0.23956
12.66,7.6684,35.588,0.55325,0.80894,0.24761
12.868,7.3617,36.754,0.52031,0.71026,0.25639
13.088,6.9591,37.786,0.47842,0.58886,0.26411
13.322,6.5111,38.634,0.43359,0.46663,0.26925
13.569,6.1656,39.332,0.40032,0.38319,0.26766
13.83,5.7664,39.947,0.36329,0.29405,0.26486
14.105,5.2406,40.374,0.31685,0.18482,0.26304
14.393,4.7084,40.637,0.27253,0.088898,0.25889
14.696,4.1677,40.72,0.23029,0.0064453,0.25287
15.012,3.6679,40.671,0.19376,-0.055023,0.2433
15.342,3.1617,40.5,0.15923,-0.10592,0.2331
15.685,2.6589,40.23,0.12739,-0.14484,0.22255
16.043,2.1709,39.874,0.098838,-0.17123,0.21137
16.414,1.7089,39.461,0.073944,-0.18349,0.19775
16.8,1.2466,39.009,0.051122,-0.18587,0.18335
17.198,0.777,38.536,0.030079,-0.18077,0.17072
# Event APOGEE occurred at t=4.3712 seconds
17.61,0.31661,38.067,0.011543,-0.16743,0.16032
18.035,0.14988,-37.627,0.0053417,0.14559,-0.14959
18.473,0.60953,-37.225,0.023096,0.1307,-0.14037
18.922,1.0883,-36.832,0.04379,0.12573,-0.13099
19.383,1.5881,-36.419,0.067778,0.13133,-0.12166
19.855,2.0664,-35.944,0.093028,0.14874,-0.1133
20.338,2.5504,-35.372,0.12084,0.17548,-0.10473
20.831,3.0495,-34.635,0.15191,0.21494,-0.095475
21.335,3.4554,-33.712,0.17896,0.25352,-0.087061
21.848,3.8139,-32.59,0.20419,0.29382,-0.078433
22.371,4.1412,-31.256,0.2283,0.33392,-0.069413
