# Simulation 1 (Up to date)
# 256 data points written for 10 variables.
# Simulation warnings:
#   Stage began to tumble under thrust.
#   Large angle of attack encountered (28.3).
#
# Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),CP location (cm),CG location (cm),Normal force coefficient (?),Pitch moment coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,90,0,NaN,55.592,NaN,NaN,NaN,7.62,45.604
0,90,0,NaN,55.592,NaN,NaN,NaN,7.62,45.604
0.071691,87.986,0,NaN,55.589,NaN,NaN,NaN,7.62,45.604
0.16918,85.235,0,NaN,55.585,NaN,NaN,NaN,7.62,45.604
0.27951,82.123,0,NaN,55.581,NaN,NaN,NaN,7.62,45.604
0.38974,79.031,0,NaN,55.576,NaN,NaN,NaN,7.62,45.604
0.49987,75.907,0,NaN,55.572,NaN,NaN,NaN,7.62,45.604
0.60989,72.81,0,NaN,55.567,NaN,NaN,NaN,7.62,45.604
# Event LIFTOFF occurred at t=0.08 seconds
0.7198,69.756,0,NaN,55.563,NaN,NaN,NaN,7.62,45.604
0.8296,66.761,0,NaN,55.558,NaN,NaN,NaN,7.62,45.604
0.93929,63.84,0,NaN,55.554,NaN,NaN,NaN,7.62,45.604
1.0489,60.949,0,NaN,55.549,NaN,NaN,NaN,7.62,45.604
1.1582,58.149,0,NaN,55.545,NaN,NaN,NaN,7.62,45.604
1.2671,55.451,0,NaN,55.54,NaN,NaN,NaN,7.62,45.604
1.3755,52.862,0,NaN,55.536,NaN,NaN,NaN,7.62,45.604
1.4835,50.384,0,NaN,55.532,NaN,NaN,NaN,7.62,45.604
1.591,48.555,0,NaN,55.527,NaN,NaN,NaN,7.62,45.604
1.6981,46.848,0,NaN,55.523,NaN,NaN,NaN,7.62,45.604
1.8048,45.256,0,NaN,55.518,NaN,NaN,NaN,7.62,45.604
1.911,43.769,0,NaN,55.514,NaN,NaN,NaN,7.62,45.604
2.0167,42.379,0,NaN,55.509,NaN,NaN,NaN,7.62,45.604
2.122,40.619,0,NaN,55.505,NaN,NaN,NaN,7.62,45.604
2.2269,38.948,0,NaN,55.501,NaN,NaN,NaN,7.62,45.604
2.3313,37.36,0,NaN,55.496,NaN,NaN,NaN,7.62,45.604
2.4353,35.851,0,NaN,55.492,NaN,NaN,NaN,7.62,45.604
2.5388,34.419,0,NaN,55.487,NaN,NaN,NaN,7.62,45.604
2.6419,33.095,0,NaN,55.483,NaN,NaN,NaN,7.62,45.604
2.7441,31.843,0,NaN,55.478,NaN,NaN,NaN,7.62,45.604
2.845,30.66,0,NaN,55.474,NaN,NaN,NaN,7.62,45.604
