# Simulation 1 (Up to date),,,,,,,,
# 175 data points written for 7 variables.,,,,,,,,
#,,,,,,,,
# Time (s),Total velocity (m/s),Pitch rate (°/s),CP location (cm),Normal force coefficient (​),Pitch moment coefficient (​),Reference length (cm),,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,
0,0,0,NaN,NaN,NaN,7.62,,
0.01,0,0,NaN,NaN,NaN,7.62,,
0.02,0.069504,0,NaN,NaN,NaN,7.62,,
0.03,0.16447,0,NaN,NaN,NaN,7.62,,
0.04,0.27212,0,NaN,NaN,NaN,7.62,,
0.05,0.37967,0,NaN,NaN,NaN,7.62,,
0.06,0.48711,0,NaN,NaN,NaN,7.62,,
0.07,0.59444,0,NaN,NaN,NaN,7.62,,
# Event LIFTOFF occurred at t=0.08 seconds,,,,,,,,
0.08,0.70167,0,NaN,NaN,NaN,7.62,,
0.09,0.80879,0,NaN,NaN,NaN,7.62,,
0.1,0.91581,0,NaN,NaN,NaN,7.62,,
0.11,1.0227,0,NaN,NaN,NaN,7.62,,
0.12,1.1294,0,NaN,NaN,NaN,7.62,,
0.13,1.2356,0,NaN,NaN,NaN,7.62,,
0.14,1.3413,0,NaN,NaN,NaN,7.62,,
0.15,1.4467,0,NaN,NaN,NaN,7.62,,
0.16,1.5515,0,NaN,NaN,NaN,7.62,,
0.17,1.656,0,NaN,NaN,NaN,7.62,,
0.18,1.76,0,NaN,NaN,NaN,7.62,,
0.19,1.8636,0,NaN,NaN,NaN,7.62,,
0.2,1.9667,0,NaN,NaN,NaN,7.62,,
0.21,2.0694,0,NaN,NaN,NaN,7.62,,
0.22,2.1717,0,NaN,NaN,NaN,7.62,,
0.23,2.2735,0,NaN,NaN,NaN,7.62,,
0.24,2.3749,0,NaN,NaN,NaN,7.62,,
0.25,2.4758,0,NaN,NaN,NaN,7.62,,
0.26,2.5763,0,NaN,NaN,NaN,7.62,,
0.27,2.6759,0,NaN,NaN,NaN,7.62,,
0.28,2.7743,0,NaN,NaN,NaN,7.62,,
0.29,2.8715,0,NaN,NaN,NaN,7.62,,
0.3,2.9674,0,NaN,NaN,NaN,7.62,,
0.31,3.0621,0,NaN,NaN,NaN,7.62,,
0.32,3.1556,0,NaN,NaN,NaN,7.62,,
0.33,3.2478,0,NaN,NaN,NaN,7.62,,
0.34,3.3388,0,NaN,NaN,NaN,7.62,,
0.35,3.4285,0,NaN,NaN,NaN,7.62,,
0.36,3.517,0,NaN,NaN,NaN,7.62,,
0.37,3.6042,0,NaN,NaN,NaN,7.62,,
0.38,3.691,0,NaN,NaN,NaN,7.62,,
0.39,3.7779,0,NaN,NaN,NaN,7.62,,
0.4,3.865,0,NaN,NaN,NaN,7.62,,
0.41,3.9524,0,NaN,NaN,NaN,7.62,,
0.42,4.0399,0,NaN,NaN,NaN,7.62,,
0.43,4.1276,0,NaN,NaN,NaN,7.62,,
0.44,4.2156,0,NaN,NaN,NaN,7.62,,
0.45,4.3037,0,NaN,NaN,NaN,7.62,,
# Event LAUNCHROD occurred at t=0.46 seconds,,,,,,,,
0.46,4.3921,0,38.455,3.1124,8.3286,7.62,,
0.475,4.5248,0.34808,38.223,2.9595,7.8328,7.62,,
0.4975,4.7209,0.86356,37.876,2.7501,7.1569,7.62,,
0.53125,5.0058,1.6029,37.183,2.3865,5.9976,7.62,,
0.58125,5.4077,2.6022,36.276,2.0016,4.7943,7.62,,
0.63125,5.7846,3.5633,35.853,1.85,4.3308,7.62,,
0.68125,6.1373,4.5631,35.228,1.6525,3.7326,7.62,,
0.73125,6.4709,5.4771,34.437,1.4397,3.0987,7.62,,
0.78125,6.7876,6.2911,33.117,1.1568,2.283,7.62,,
0.83125,7.0873,6.9344,32.354,1.0249,1.916,7.62,,10.05774278
0.88125,7.3702,7.5804,31.862,0.94963,1.711,7.62,,8.981627297
0.93125,7.636,8.1993,31.667,0.92164,1.6359,7.62,,8.587401575
0.98125,7.8849,8.8539,31.343,0.87743,1.5173,7.62,,7.964829396
1.0313,8.1167,9.4705,30.795,0.80837,1.3339,7.62,,7.002099738
1.0813,8.3316,10.053,30.412,0.764,1.2189,7.62,,6.398425197
1.1313,8.5295,10.627,30.196,0.7403,1.1568,7.62,,6.072440945
1.1813,8.7104,11.197,29.82,0.701,1.0561,7.62,,5.543832021
1.2313,8.8743,11.72,29.16,0.63778,0.89867,7.62,,4.717427822
1.2813,9.0213,12.173,28.425,0.57515,0.74632,7.62,,3.917690289
1.3313,9.1518,12.563,27.725,0.5219,0.62201,7.62,,3.265144357
1.3813,9.2696,12.919,27.807,0.52783,0.63529,7.62,,
1.4313,9.3756,13.296,27.129,0.48093,0.52782,7.62,,
1.4813,9.4698,13.558,25.373,0.37954,0.31079,7.62,,
1.5313,9.5524,13.73,25.347,0.37823,0.30941,7.62,,
1.5813,9.6233,13.948,25.381,0.37995,0.31313,7.62,,
1.6313,9.6827,14.127,24.316,0.32974,0.21456,7.62,,
1.6813,9.7305,14.248,23.771,0.3068,0.17249,7.62,,
1.7313,9.7669,14.358,23.239,0.28592,0.13497,7.62,,
1.7813,9.7921,14.456,24.022,0.31717,0.19326,7.62,,
1.8313,9.8068,14.601,23.458,0.29433,0.15015,7.62,,
1.8813,9.8185,14.679,22.727,0.2672,0.10337,7.62,,
1.9313,9.8289,14.752,22.677,0.26544,0.10068,7.62,,
1.9813,9.8381,14.812,21.709,0.23346,0.047802,7.62,,
2.0313,9.8463,14.842,22.206,0.24937,0.07445,7.62,,
2.0813,9.8535,14.909,22.121,0.24657,0.070337,7.62,,
2.1313,9.8601,14.943,21.275,0.22032,0.029029,7.62,,
2.1813,9.8662,14.967,21.807,0.2365,0.0558,7.62,,
2.2313,9.8719,15.019,21.869,0.23846,0.059117,7.62,,
2.2813,9.8776,15.065,22.371,0.25489,0.087066,7.62,,
2.3313,9.8833,15.144,22.601,0.26279,0.10114,7.62,,
2.3812,9.8893,15.22,22.694,0.26603,0.10674,7.62,,
2.4312,9.896,15.297,22.124,0.24667,0.073609,7.62,,
2.4812,9.9034,15.361,23.294,0.28803,0.14674,7.62,,
2.5312,9.911,15.516,24.023,0.3172,0.20107,7.62,,
2.5812,9.9174,15.685,24.665,0.34538,0.2557,7.62,,
2.6312,9.9229,15.932,25.773,0.40042,0.36866,7.62,,
2.6812,9.9277,16.286,26.879,0.46489,0.50996,7.62,,
2.7312,9.932,16.734,27.002,0.47271,0.52361,7.62,,
2.7812,9.9363,17.179,27.666,0.51767,0.62514,7.62,,
2.8312,9.9406,17.792,28.772,0.60383,0.83084,7.62,,
2.8812,9.9453,18.553,29.064,0.62917,0.88663,7.62,,
2.9312,9.9508,19.346,29.637,0.68272,1.0173,7.62,,
2.9812,9.9573,20.304,30.02,0.72158,1.1089,7.62,,
3.0312,9.9653,21.288,30.08,0.72793,1.1141,7.62,,
3.0812,9.9753,22.284,30.175,0.73799,1.1289,7.62,,
3.1312,9.9877,23.328,30.53,0.77733,1.2224,7.62,,
3.1812,10.005,24.498,30.855,0.81565,1.3121,7.62,,
3.2312,10.03,25.734,30.937,0.82561,1.3235,7.62,,
3.2812,10.062,26.936,30.599,0.78535,1.195,7.62,,
3.3312,10.103,28.005,30.464,0.76991,1.1376,7.62,,
3.3812,10.153,29.075,30.344,0.75641,1.0857,7.62,,
3.4312,10.213,30.045,29.795,0.69845,0.91245,7.62,,
3.4812,10.283,30.881,29.851,0.70411,0.91895,7.62,,
3.5312,10.364,31.848,30.239,0.74489,1.0213,7.62,,
