Flight Time(sec),Gyro xb(°/s),Gyro yb(°/s),Gyro zb(°/s),Acc xb(m/s²),Acc yb(m/s²),Acc zb(m/s²),Acc xb backup(m/s²),Acc yb backup(m/s²),Acc zb backup(m/s²),TVC Y+°,TVC Z+°,TVC Y+ N⋅m,TVC Z+ N⋅m,Roll Wheel Val,Pressure Pa,,,Temp C°
0,0,0.08,-0.24,9.77,0.04,0.03,9.92,-0.08,-0.24,0,0,0,0,0,99360,0.345457693351899,0.38344908383377,52.24
0.001,0,0.08,-0.17,27.66,0.62,0.86,27.33,-0.3,0.11,0,0.03,-0.0009,0.0048,0,99364,0,0,52.26
0.021,-30.24,-6.86,-5.17,27.66,0.62,0.86,26.28,0.19,-0.09,0,0.03,-0.0009,0.0048,-0.56,99364,0,0,52.26
0.041,-35.49,-8.98,-9.17,26.03,0.7,0.56,25.8,-0.01,-0.27,0.69,0.7,0.134,0.1347,-0.96,99364,0,0,52.26
0.061,-35.49,-8.98,-9.17,25.04,0.59,0.58,25.79,0.14,-0.04,0.69,0.7,0.134,0.1347,-0.96,99364,0,0,52.26
0.081,-35.06,-10.36,-11.92,25.04,0.59,0.58,25.48,0.06,-0.19,0.94,1.05,0.1697,0.1918,-2.46,99364,0,0,52.26
0.101,-34.99,-9.54,-13.49,25.15,0.61,0.56,25.81,0.1,-0.25,0.94,1.05,0.1697,0.1918,-2.91,99364,0,0,52.26
0.121,-34.99,-9.54,-13.49,24.99,0.68,0.53,25.5,0.17,-0.11,0.94,1.05,0.1697,0.1918,-2.91,99364,0,0,52.26
0.141,-32.31,-9.42,-15.05,24.99,0.68,0.53,26.02,0.14,-0.19,0.93,1.24,0.1633,0.2208,-3.87,99364,0,0,52.26
0.161,-32.81,-7.29,-15.55,25.25,0.75,0.53,25.44,0.23,-0.23,0.93,1.24,0.1633,0.2208,-4.84,99364,0,0,52.26
0.181,-32.81,-7.29,-15.55,24.87,0.75,0.51,25.23,0.19,-0.26,0.91,1.65,0.1526,0.2881,-4.84,99364,0,0,52.26
0.201,-31.43,-6.23,-14.92,24.87,0.75,0.51,25.2,0.16,-0.21,0.91,1.65,0.1526,0.2881,-5.81,99364,0,0,52.26
0.221,-31.87,-4.86,-14.3,24.66,0.74,0.48,25.59,0.25,-0.24,0.94,1.82,0.1453,0.2997,-6.36,99364,0,0,52.26
0.241,-31.87,-4.86,-14.3,24.9,0.77,0.49,25.47,0.2,-0.28,0.94,1.82,0.1453,0.2997,-6.36,99364,0,0,52.26
0.261,-31.37,-1.79,-12.74,24.9,0.77,0.49,25.19,0.26,-0.28,0.91,1.93,0.1288,0.3019,-7.58,99364,0,0,52.26
0.281,-30.62,-0.36,-10.99,24.64,0.8,0.49,25.08,0.24,-0.23,0.91,1.93,0.1288,0.3019,-8.49,99364,0,0,52.26
0.301,-30.62,-0.36,-10.99,24.42,0.8,0.44,24.85,0.22,-0.15,0.63,2.03,0.0661,0.2929,-8.49,99364,0,0,52.26
0.321,-31.81,1.83,-8.74,24.42,0.8,0.44,24.58,0.39,-0.34,0.63,2.03,0.0661,0.2929,-9.4,99364,0,0,52.26
